molecule_id,activity
1,0.634
2,0.531
3,0.572
4,0.613
5,0.547
6,0.619
7,0.628
8,0.628
9,0.561
10,0.628
11,0.516
12,0.451
13,0.568
14,0.619
15,0.568
16,0.584
17,0.589
18,0.554
19,0.534
20,0.602
21,0.649
22,0.745
23,0.72
24,0.756
25,0.587
26,0.582
27,0.675
28,0.893
29,0.893
30,0.634
31,0.833
32,0.859
33,0.741
34,0.742
35,0.9
36,0.749
37,0.829
38,0.716
39,0.838
40,0.763
41,0.671
42,0.763
43,0.805
44,0.717
45,0.772
46,0.545
47,0.549
48,0.584
49,0.661
50,0.619
51,0.579
52,0.674
53,0.642
54,0.734
55,0.7
56,0.624
57,0.56
58,0.54
59,0.665
60,0.646
61,0.738
62,0.595
63,0.9
64,0.9
65,0.638
66,0.897
67,0.571
68,0.1
69,0.621
70,0.569
71,0.632
72,0.753
73,0.538
74,0.639
